ZT,TimeDay,Wake,PS,SWS,Artifact,Genotype,Transmitter,Day
14,20:00:00-20:30:00,27.0,1.0,2,0.0,McKO,1114204,3
14,20:30:00-21:00:00,6.7,0.7,22.7,0.0,McKO,1114204,3
15,21:00:00-21:30:00,23.2,0.8,5.8,0.2,McKO,1114204,3
15,21:30:00-22:00:00,6.7,1.0,22.3,0.0,McKO,1114204,3
16,22:00:00-22:30:00,13.8,1.5,14.7,0.0,McKO,1114204,3
16,22:30:00-23:00:00,27.7,0.5,1.8,0.0,McKO,1114204,3
17,23:00:00-23:30:00,25.3,0.7,4,0.0,McKO,1114204,3
17,23:30:00-0:00:00,21.7,0.8,7.3,0.2,McKO,1114204,3
18,0:00:00-0:30:00,9.8,0.5,19.7,0.0,McKO,1114204,4
18,0:30:00-1:00:00,8.3,0.8,20.8,0.0,McKO,1114204,4
19,1:00:00-1:30:00,13.8,1.2,15,0.0,McKO,1114204,4
19,1:30:00-2:00:00,27.3,0.3,2.2,0.2,McKO,1114204,4
20,2:00:00-2:30:00,13.0,1.2,15.8,0.0,McKO,1114204,4
20,2:30:00-3:00:00,12.8,2.2,15,0.0,McKO,1114204,4
21,3:00:00-3:30:00,20.0,1.0,9,0.0,McKO,1114204,4
21,3:30:00-4:00:00,25.3,0.8,3.8,0.0,McKO,1114204,4
22,4:00:00-4:30:00,10.7,0.3,19,0.0,McKO,1114204,4
22,4:30:00-5:00:00,17.3,0.3,12.3,0.0,McKO,1114204,4
23,5:00:00-5:30:00,8.7,1.2,20.2,0.0,McKO,1114204,4
23,5:30:00-6:00:00,17.3,1.2,11.5,0.0,McKO,1114204,4
0,6:00:00-6:30:00,6.8,0.5,22.7,0.0,McKO,1114204,4
0,6:30:00-7:00:00,0.3,0.0,29.7,0.0,McKO,1114204,4
1,7:00:00-7:30:00,1.5,0.2,28.3,0.0,McKO,1114204,4
1,7:30:00-8:00:00,8.0,0.8,21.2,0.0,McKO,1114204,4
2,8:00:00-8:30:00,0.3,0.2,29.5,0.0,McKO,1114204,4
2,8:30:00-9:00:00,11.7,0.0,18.3,0.0,McKO,1114204,4
3,9:00:00-9:30:00,8.3,0.2,21.5,0.0,McKO,1114204,4
3,9:30:00-10:00:00,4.5,0.3,25.2,0.0,McKO,1114204,4
4,10:00:00-10:30:00,0.3,0.3,29.3,0.0,McKO,1114204,4
4,10:30:00-11:00:00,8.2,0.2,21.7,0.0,McKO,1114204,4
5,11:00:00-11:30:00,9.0,1.2,19.8,0.0,McKO,1114204,4
5,11:30:00-12:00:00,0.2,0.0,29.8,0.0,McKO,1114204,4
6,12:00:00-12:30:00,1.2,0.0,28.8,0.0,McKO,1114204,4
6,12:30:00-13:00:00,14.8,0.3,14.8,0.0,McKO,1114204,4
7,13:00:00-13:30:00,3.2,0.0,26.8,0.0,McKO,1114204,4
7,13:30:00-14:00:00,0.0,0.0,30,0.0,McKO,1114204,4
8,14:00:00-14:30:00,1.8,0.3,27.8,0.0,McKO,1114204,4
8,14:30:00-15:00:00,9.7,0.3,20,0.0,McKO,1114204,4
9,15:00:00-15:30:00,4.0,1.5,24.5,0.0,McKO,1114204,4
9,15:30:00-16:00:00,26.0,0.5,3.5,0.0,McKO,1114204,4
10,16:00:00-16:30:00,25.8,0.2,4,0.0,McKO,1114204,4
10,16:30:00-17:00:00,0.5,0.5,29,0.0,McKO,1114204,4
11,17:00:00-17:30:00,3.7,1.5,24.8,0.0,McKO,1114204,4
11,17:30:00-18:00:00,3.5,1.7,24.7,0.0,McKO,1114204,4
12, 18:00:00-18:30:00 ,19.3,0.2,10.5,0.0,McKO,1114206,0
12, 18:30:00-19:00:00 ,13.8,0.7,15.5,0.0,McKO,1114206,0
13, 19:00:00-19:30:00 ,25.0,1.2,3.8,0.0,McKO,1114206,0
13, 19:30:00-20:00:00 ,11.5,0.3,18.2,0.0,McKO,1114206,0
14, 20:00:00-20:30:00 ,16.2,0.5,13.3,0.0,McKO,1114206,0
14, 20:30:00-21:00:00 ,21.7,0.8,7.5,0.0,McKO,1114206,0
15, 21:00:00-21:30:00 ,14.2,0.3,15.5,0.0,McKO,1114206,0
15, 21:30:00-22:00:00 ,5.5,0.3,24.2,0.0,McKO,1114206,0
16, 22:00:00-22:30:00 ,12.3,1.7,16.0,0.0,McKO,1114206,0
16, 22:30:00-23:00:00 ,15.3,1.2,13.5,0.0,McKO,1114206,0
17, 23:00:00-23:30:00 ,12.0,1.8,16.2,0.0,McKO,1114206,0
17, 23:30:00-0:00:00 ,8.0,0.8,21.2,0.0,McKO,1114206,0
18, 0:00:00-0:30:00 ,28.7,0.0,1.3,0.0,McKO,1114206,1
18, 0:30:00-1:00:00 ,9.2,1.2,19.7,0.0,McKO,1114206,1
19, 1:00:00-1:30:00 ,11.0,1.3,17.7,0.0,McKO,1114206,1
19, 1:30:00-2:00:00 ,14.5,0.0,15.5,0.0,McKO,1114206,1
20, 2:00:00-2:30:00 ,18.2,0.5,11.3,0.0,McKO,1114206,1
20, 2:30:00-3:00:00 ,5.8,1.0,23.2,0.0,McKO,1114206,1
21, 3:00:00-3:30:00 ,14.8,0.2,14.8,0.2,McKO,1114206,1
21, 3:30:00-4:00:00 ,12.5,0.7,16.8,0.0,McKO,1114206,1
22, 4:00:00-4:30:00 ,22.3,0.7,7.0,0.0,McKO,1114206,1
22, 4:30:00-5:00:00 ,13.0,2.0,15.0,0.0,McKO,1114206,1
23, 5:00:00-5:30:00 ,19.8,0.3,9.8,0.0,McKO,1114206,1
23, 5:30:00-6:00:00 ,1.7,1.5,26.8,0.0,McKO,1114206,1
0, 6:00:00-6:30:00 ,22.8,0.5,6.7,0.0,McKO,1114206,1
0, 6:30:00-7:00:00 ,3.0,1.5,25.5,0.0,McKO,1114206,1
1, 7:00:00-7:30:00 ,0.3,1.0,28.7,0.0,McKO,1114206,1
1, 7:30:00-8:00:00 ,0.2,0.0,29.8,0.0,McKO,1114206,1
2, 8:00:00-8:30:00 ,2.5,0.5,27.0,0.0,McKO,1114206,1
2, 8:30:00-9:00:00 ,10.7,0.8,18.5,0.0,McKO,1114206,1
3, 9:00:00-9:30:00 ,0.8,0.7,28.5,0.0,McKO,1114206,1
3, 9:30:00-10:00:00 ,17.2,1.3,11.5,0.0,McKO,1114206,1
4, 10:00:00-10:30:00 ,0.3,0.3,29.3,0.0,McKO,1114206,1
4, 10:30:00-11:00:00 ,0.2,0.7,29.2,0.0,McKO,1114206,1
5, 11:00:00-11:30:00 ,1.7,0.3,28.0,0.0,McKO,1114206,1
5, 11:30:00-12:00:00 ,7.0,0.8,22.2,0.0,McKO,1114206,1
6, 12:00:00-12:30:00 ,9.5,0.3,20.2,0.0,McKO,1114206,1
6, 12:30:00-13:00:00 ,0.5,1.2,28.3,0.0,McKO,1114206,1
7, 13:00:00-13:30:00 ,0.5,0.7,28.8,0.0,McKO,1114206,1
7, 13:30:00-14:00:00 ,8.5,1.2,20.3,0.0,McKO,1114206,1
8, 14:00:00-14:30:00 ,8.5,0.3,21.2,0.0,McKO,1114206,1
8, 14:30:00-15:00:00 ,2.0,1.0,27.0,0.0,McKO,1114206,1
9, 15:00:00-15:30:00 ,4.8,0.8,24.3,0.0,McKO,1114206,1
9, 15:30:00-16:00:00 ,13.2,0.3,16.5,0.0,McKO,1114206,1
10, 16:00:00-16:30:00 ,0.2,0.0,29.8,0.0,McKO,1114206,1
10, 16:30:00-17:00:00 ,0.5,0.0,29.5,0.0,McKO,1114206,1
11, 17:00:00-17:30:00 ,17.3,1.0,11.7,0.0,McKO,1114206,1
11, 17:30:00-18:00:00 ,1.3,0.8,27.7,0.0,McKO,1114206,1
12, 18:00:00-18:30:00 ,17.8,0.2,12.0,0,McKO,1114206,1
12, 18:30:00-19:00:00 ,19.5,0.5,10.0,0,McKO,1114206,1
13, 19:00:00-19:30:00 ,20.3,0.2,9.5,0,McKO,1114206,1
13, 19:30:00-20:00:00 ,9.5,0.5,20.0,0,McKO,1114206,1
14, 20:00:00-20:30:00 ,16.2,0.5,13.3,0,McKO,1114206,1
14, 20:30:00-21:00:00 ,18.8,0.5,10.7,0,McKO,1114206,1
15, 21:00:00-21:30:00 ,8.3,1.2,20.5,0,McKO,1114206,1
15, 21:30:00-22:00:00 ,23.7,0.0,6.3,0,McKO,1114206,1
16, 22:00:00-22:30:00 ,16.7,0.5,12.8,0,McKO,1114206,1
16, 22:30:00-23:00:00 ,11.8,1.2,17.0,0,McKO,1114206,1
17, 23:00:00-23:30:00 ,7.0,0.7,22.3,0,McKO,1114206,1
17, 23:30:00-0:00:00 ,14.0,1.7,14.3,0,McKO,1114206,1
18, 0:00:00-0:30:00 ,22.3,0.3,7.3,0,McKO,1114206,2
18, 0:30:00-1:00:00 ,28.5,0.3,1.2,0,McKO,1114206,2
19, 1:00:00-1:30:00 ,27.7,0.0,2.3,0,McKO,1114206,2
19, 1:30:00-2:00:00 ,10.7,0.7,18.7,0,McKO,1114206,2
20, 2:00:00-2:30:00 ,11.5,2.0,16.5,0,McKO,1114206,2
20, 2:30:00-3:00:00 ,14.3,0.7,15.0,0,McKO,1114206,2
21, 3:00:00-3:30:00 ,10.3,0.2,19.5,0,McKO,1114206,2
21, 3:30:00-4:00:00 ,24.7,0.7,4.7,0,McKO,1114206,2
22, 4:00:00-4:30:00 ,4.0,0.7,25.3,0,McKO,1114206,2
22, 4:30:00-5:00:00 ,21.3,0.3,8.3,0,McKO,1114206,2
23, 5:00:00-5:30:00 ,0.7,0.5,28.8,0,McKO,1114206,2
23, 5:30:00-6:00:00 ,3.3,1.5,25.2,0,McKO,1114206,2
0, 6:00:00-6:30:00 ,0.8,1.3,27.8,0,McKO,1114206,2
0, 6:30:00-7:00:00 ,9.5,1.0,19.5,0,McKO,1114206,2
1, 7:00:00-7:30:00 ,1.5,0.0,28.5,0,McKO,1114206,2
1, 7:30:00-8:00:00 ,5.8,1.2,23.0,0,McKO,1114206,2
2, 8:00:00-8:30:00 ,27.3,0.3,2.3,0,McKO,1114206,2
2, 8:30:00-9:00:00 ,6.0,0.3,23.7,0,McKO,1114206,2
3, 9:00:00-9:30:00 ,0.2,1.3,28.5,0,McKO,1114206,2
3, 9:30:00-10:00:00 ,0.7,0.8,28.5,0,McKO,1114206,2
4, 10:00:00-10:30:00 ,2.7,0.5,26.8,0,McKO,1114206,2
4, 10:30:00-11:00:00 ,5.0,0.2,24.8,0,McKO,1114206,2
5, 11:00:00-11:30:00 ,16.0,0.2,13.8,0,McKO,1114206,2
5, 11:30:00-12:00:00 ,0.5,0.5,29.0,0,McKO,1114206,2
6, 12:00:00-12:30:00 ,0.0,0.5,29.5,0,McKO,1114206,2
6, 12:30:00-13:00:00 ,0.5,2.3,27.2,0,McKO,1114206,2
7, 13:00:00-13:30:00 ,8.7,1.7,19.7,0,McKO,1114206,2
7, 13:30:00-14:00:00 ,1.0,0.7,28.3,0,McKO,1114206,2
8, 14:00:00-14:30:00 ,10.0,0.8,19.2,0,McKO,1114206,2
8, 14:30:00-15:00:00 ,11.8,1.0,17.2,0,McKO,1114206,2
9, 15:00:00-15:30:00 ,1.0,1.5,27.5,0,McKO,1114206,2
9, 15:30:00-16:00:00 ,1.0,0.0,29.0,0,McKO,1114206,2
10, 16:00:00-16:30:00 ,11.3,0.5,18.2,0,McKO,1114206,2
10, 16:30:00-17:00:00 ,13.5,1.7,14.8,0,McKO,1114206,2
11, 17:00:00-17:30:00 ,0.5,1.3,28.2,0,McKO,1114206,2
11, 17:30:00-18:00:00 ,14.7,1.0,14.2,0,McKO,1114206,2
12,18:00:00-18:30:00,18.8,0.5,10.7,0.0,McKO,1114206,2
12,18:30:00-19:00:00,26.0,1.0,3,0.0,McKO,1114206,2
13,19:00:00-19:30:00,20.3,0.7,9,0.0,McKO,1114206,2
13,19:30:00-20:00:00,14.8,1.7,13.5,0.0,McKO,1114206,2
14,20:00:00-20:30:00,10.8,0.2,19,0.0,McKO,1114206,2
14,20:30:00-21:00:00,12.8,0.8,16.3,0.0,McKO,1114206,2
15,21:00:00-21:30:00,23.2,0.8,6,0.0,McKO,1114206,2
15,21:30:00-22:00:00,13.0,0.3,16.7,0.0,McKO,1114206,2
16,22:00:00-22:30:00,27.0,0.3,2.7,0.0,McKO,1114206,2
16,22:30:00-23:00:00,8.5,1.0,20.5,0.0,McKO,1114206,2
17,23:00:00-23:30:00,21.7,0.2,8.2,0.0,McKO,1114206,2
17,23:30:00-0:00:00,17.3,0.0,12.7,0.0,McKO,1114206,2
18,0:00:00-0:30:00,29.3,0.3,0.3,0.0,McKO,1114206,3
18,0:30:00-1:00:00,8.7,0.2,21.2,0.0,McKO,1114206,3
19,1:00:00-1:30:00,8.8,1.5,19.7,0.0,McKO,1114206,3
19,1:30:00-2:00:00,28.8,0.2,1,0.0,McKO,1114206,3
20,2:00:00-2:30:00,18.3,0.3,11.3,0.0,McKO,1114206,3
20,2:30:00-3:00:00,7.3,2.8,19.7,0.2,McKO,1114206,3
21,3:00:00-3:30:00,14.2,0.5,15.2,0.2,McKO,1114206,3
21,3:30:00-4:00:00,13.3,0.0,16.5,0.2,McKO,1114206,3
22,4:00:00-4:30:00,27.7,0.5,1.5,0.3,McKO,1114206,3
22,4:30:00-5:00:00,6.3,1.7,22,0.0,McKO,1114206,3
23,5:00:00-5:30:00,17.8,0.5,11.5,0.2,McKO,1114206,3
23,5:30:00-6:00:00,0.5,2.5,27,0.0,McKO,1114206,3
0,6:00:00-6:30:00,0.3,1.3,28.3,0.0,McKO,1114206,3
0,6:30:00-7:00:00,14.8,0.3,14.8,0.0,McKO,1114206,3
1,7:00:00-7:30:00,10.0,0.0,20,0.0,McKO,1114206,3
1,7:30:00-8:00:00,0.3,2.5,27.2,0.0,McKO,1114206,3
2,8:00:00-8:30:00,10.7,1.7,17.7,0.0,McKO,1114206,3
2,8:30:00-9:00:00,7.3,0.5,22.2,0.0,McKO,1114206,3
3,9:00:00-9:30:00,0.2,1.3,28.5,0.0,McKO,1114206,3
3,9:30:00-10:00:00,8.8,2.3,18.8,0.0,McKO,1114206,3
4,10:00:00-10:30:00,4.5,1.0,24.5,0.0,McKO,1114206,3
4,10:30:00-11:00:00,0.3,0.3,29.3,0.0,McKO,1114206,3
5,11:00:00-11:30:00,15.8,0.8,13.3,0.0,McKO,1114206,3
5,11:30:00-12:00:00,14.5,1.0,14.3,0.2,McKO,1114206,3
6,12:00:00-12:30:00,1.3,0.3,28.3,0.0,McKO,1114206,3
6,12:30:00-13:00:00,0.7,0.7,28.7,0.0,McKO,1114206,3
7,13:00:00-13:30:00,0.8,2.2,27,0.0,McKO,1114206,3
7,13:30:00-14:00:00,3.7,1.0,25.3,0.0,McKO,1114206,3
8,14:00:00-14:30:00,8.2,1.0,20.7,0.2,McKO,1114206,3
8,14:30:00-15:00:00,1.0,1.0,28,0.0,McKO,1114206,3
9,15:00:00-15:30:00,9.8,1.7,18.5,0.0,McKO,1114206,3
9,15:30:00-16:00:00,15.5,0.5,14,0.0,McKO,1114206,3
10,16:00:00-16:30:00,0.3,1.8,27.8,0.0,McKO,1114206,3
10,16:30:00-17:00:00,10.2,0.2,19.7,0.0,McKO,1114206,3
11,17:00:00-17:30:00,10.8,1.3,17.8,0.0,McKO,1114206,3
11,17:30:00-18:00:00,4.0,1.8,24,0.0,McKO,1114206,3
12,18:00:00-18:30:00,28.0,0.7,1.2,0.2,McKO,1114206,3
12,18:30:00-19:00:00,27.3,1.3,1.3,0.0,McKO,1114206,3
13,19:00:00-19:30:00,28.2,0.3,1.5,0.0,McKO,1114206,3
13,19:30:00-20:00:00,18.2,0.3,11.5,0.0,McKO,1114206,3
14,20:00:00-20:30:00,17.3,1.7,11,0.0,McKO,1114206,3
14,20:30:00-21:00:00,16.5,0.5,12.8,0.2,McKO,1114206,3
15,21:00:00-21:30:00,26.3,1.0,2.7,0.0,McKO,1114206,3
15,21:30:00-22:00:00,7.3,0.2,22.5,0.0,McKO,1114206,3
16,22:00:00-22:30:00,28.7,0.5,0.8,0.0,McKO,1114206,3
16,22:30:00-23:00:00,24.5,1.5,4,0.0,McKO,1114206,3
17,23:00:00-23:30:00,4.5,0.8,24.7,0.0,McKO,1114206,3
17,23:30:00-0:00:00,17.3,0.8,11.7,0.2,McKO,1114206,3
18,0:00:00-0:30:00,11.5,0.8,17.7,0.0,McKO,1114206,4
18,0:30:00-1:00:00,21.8,0.2,8,0.0,McKO,1114206,4
19,1:00:00-1:30:00,23.2,0.0,6.8,0.0,McKO,1114206,4
19,1:30:00-2:00:00,29.0,0.7,0.3,0.0,McKO,1114206,4
20,2:00:00-2:30:00,25.3,1.5,3.2,0.0,McKO,1114206,4
20,2:30:00-3:00:00,0.7,0.5,28.8,0.0,McKO,1114206,4
21,3:00:00-3:30:00,20.3,0.2,9.5,0.0,McKO,1114206,4
21,3:30:00-4:00:00,26.8,1.2,2,0.0,McKO,1114206,4
22,4:00:00-4:30:00,2.8,0.3,26.8,0.0,McKO,1114206,4
22,4:30:00-5:00:00,11.5,1.5,17,0.0,McKO,1114206,4
23,5:00:00-5:30:00,26.8,0.7,2.5,0.0,McKO,1114206,4
23,5:30:00-6:00:00,1.7,0.8,27.5,0.0,McKO,1114206,4
0,6:00:00-6:30:00,0.5,0.7,28.8,0.0,McKO,1114206,4
0,6:30:00-7:00:00,0.3,1.2,28.5,0.0,McKO,1114206,4
1,7:00:00-7:30:00,13.3,2.2,14.3,0.2,McKO,1114206,4
1,7:30:00-8:00:00,23.2,0.8,5.8,0.2,McKO,1114206,4
2,8:00:00-8:30:00,0.2,0.8,29,0.0,McKO,1114206,4
2,8:30:00-9:00:00,0.8,0.3,28.8,0.0,McKO,1114206,4
3,9:00:00-9:30:00,7.2,2.7,20,0.2,McKO,1114206,4
3,9:30:00-10:00:00,7.5,0.8,21.7,0.0,McKO,1114206,4
4,10:00:00-10:30:00,0.5,0.5,29,0.0,McKO,1114206,4
4,10:30:00-11:00:00,1.0,0.2,28.8,0.0,McKO,1114206,4
5,11:00:00-11:30:00,5.0,0.7,24.3,0.0,McKO,1114206,4
5,11:30:00-12:00:00,3.2,0.2,26.7,0.0,McKO,1114206,4
6,12:00:00-12:30:00,0.5,2.0,27.5,0.0,McKO,1114206,4
6,12:30:00-13:00:00,7.8,1.3,20.8,0.0,McKO,1114206,4
7,13:00:00-13:30:00,0.0,0.7,29.3,0.0,McKO,1114206,4
7,13:30:00-14:00:00,6.3,1.7,22,0.0,McKO,1114206,4
8,14:00:00-14:30:00,0.5,1.0,28.5,0.0,McKO,1114206,4
8,14:30:00-15:00:00,2.0,2.0,26,0.0,McKO,1114206,4
9,15:00:00-15:30:00,1.0,1.0,28,0.0,McKO,1114206,4
9,15:30:00-16:00:00,22.7,0.8,6.2,0.3,McKO,1114206,4
10,16:00:00-16:30:00,5.5,0.0,24.3,0.2,McKO,1114206,4
10,16:30:00-17:00:00,8.8,0.5,20.7,0.0,McKO,1114206,4
11,17:00:00-17:30:00,13.7,0.5,15.7,0.2,McKO,1114206,4
11,17:30:00-18:00:00,8.3,0.8,20.7,0.0,McKO,1114206,4
12, 18:00:00-18:30:00 ,16.3,0.0,13.5,0.2,McKO,1115463,0
12, 18:30:00-19:00:00 ,24.0,0.0,5.2,0.8,McKO,1115463,0
13, 19:00:00-19:30:00 ,10.8,0.7,18.3,0.2,McKO,1115463,0
13, 19:30:00-20:00:00 ,18.7,0.2,10.7,0.5,McKO,1115463,0
14, 20:00:00-20:30:00 ,18.7,0.2,10.8,0.3,McKO,1115463,0
14, 20:30:00-21:00:00 ,7.3,1.8,20.7,0.2,McKO,1115463,0
15, 21:00:00-21:30:00 ,23.5,0.5,5.7,0.3,McKO,1115463,0
15, 21:30:00-22:00:00 ,4.7,1.0,24.3,0.0,McKO,1115463,0
16, 22:00:00-22:30:00 ,23.0,0.0,6.0,1.0,McKO,1115463,0
16, 22:30:00-23:00:00 ,17.5,0.0,12.3,0.2,McKO,1115463,0
17, 23:00:00-23:30:00 ,14.5,1.8,13.5,0.2,McKO,1115463,0
17, 23:30:00-0:00:00 ,1.5,1.3,27.2,0.0,McKO,1115463,0
18, 0:00:00-0:30:00 ,26.7,0.0,2.7,0.7,McKO,1115463,1
18, 0:30:00-1:00:00 ,17.0,0.3,12.0,0.7,McKO,1115463,1
19, 1:00:00-1:30:00 ,9.7,2.0,18.3,0.0,McKO,1115463,1
19, 1:30:00-2:00:00 ,25.5,0.2,4.0,0.3,McKO,1115463,1
20, 2:00:00-2:30:00 ,12.2,1.2,16.5,0.2,McKO,1115463,1
20, 2:30:00-3:00:00 ,26.7,0.2,3.2,0.0,McKO,1115463,1
21, 3:00:00-3:30:00 ,8.8,0.5,20.7,0.0,McKO,1115463,1
21, 3:30:00-4:00:00 ,15.7,0.5,13.7,0.2,McKO,1115463,1
22, 4:00:00-4:30:00 ,14.5,0.0,15.0,0.5,McKO,1115463,1
22, 4:30:00-5:00:00 ,7.8,1.3,20.7,0.2,McKO,1115463,1
23, 5:00:00-5:30:00 ,0.8,3.3,25.8,0.0,McKO,1115463,1
23, 5:30:00-6:00:00 ,13.3,0.5,16.2,0.0,McKO,1115463,1
0, 6:00:00-6:30:00 ,5.8,0.2,24.0,0.0,McKO,1115463,1
0, 6:30:00-7:00:00 ,0.8,4.2,25.0,0.0,McKO,1115463,1
1, 7:00:00-7:30:00 ,11.2,0.7,18.0,0.2,McKO,1115463,1
1, 7:30:00-8:00:00 ,14.0,1.7,14.3,0.0,McKO,1115463,1
2, 8:00:00-8:30:00 ,0.7,4.5,24.8,0.0,McKO,1115463,1
2, 8:30:00-9:00:00 ,2.8,2.5,24.7,0.0,McKO,1115463,1
3, 9:00:00-9:30:00 ,12.0,1.2,16.8,0.0,McKO,1115463,1
3, 9:30:00-10:00:00 ,2.5,1.3,26.2,0.0,McKO,1115463,1
4, 10:00:00-10:30:00 ,0.5,3.0,26.5,0.0,McKO,1115463,1
4, 10:30:00-11:00:00 ,9.0,1.8,19.2,0.0,McKO,1115463,1
5, 11:00:00-11:30:00 ,3.3,1.3,25.3,0.0,McKO,1115463,1
5, 11:30:00-12:00:00 ,0.8,2.3,26.8,0.0,McKO,1115463,1
6, 12:00:00-12:30:00 ,3.7,1.3,25.0,0.0,McKO,1115463,1
6, 12:30:00-13:00:00 ,18.7,0.5,10.5,0.3,McKO,1115463,1
7, 13:00:00-13:30:00 ,0.2,4.5,25.3,0.0,McKO,1115463,1
7, 13:30:00-14:00:00 ,0.5,4.0,25.5,0.0,McKO,1115463,1
8, 14:00:00-14:30:00 ,5.0,2.8,22.2,0.0,McKO,1115463,1
8, 14:30:00-15:00:00 ,10.8,1.3,17.8,0.0,McKO,1115463,1
9, 15:00:00-15:30:00 ,0.7,1.7,27.7,0.0,McKO,1115463,1
9, 15:30:00-16:00:00 ,16.2,0.3,13.3,0.2,McKO,1115463,1
10, 16:00:00-16:30:00 ,1.2,5.2,23.5,0.2,McKO,1115463,1
10, 16:30:00-17:00:00 ,13.5,2.2,14.2,0.2,McKO,1115463,1
11, 17:00:00-17:30:00 ,9.3,2.0,18.7,0.0,McKO,1115463,1
11, 17:30:00-18:00:00 ,7.5,0.8,21.5,0.0,McKO,1115463,1
12, 18:00:00-18:30:00 ,25.0,0.2,3.7,1.2,McKO,1115463,1
12, 18:30:00-19:00:00 ,25.0,0.3,4.3,0.3,McKO,1115463,1
13, 19:00:00-19:30:00 ,14.8,1.2,13.8,0.2,McKO,1115463,1
13, 19:30:00-20:00:00 ,11.7,0.7,17.3,0.3,McKO,1115463,1
14, 20:00:00-20:30:00 ,23.2,0.0,6.5,0.3,McKO,1115463,1
14, 20:30:00-21:00:00 ,7.0,0.3,22.5,0.2,McKO,1115463,1
15, 21:00:00-21:30:00 ,5.2,0.0,24.7,0.2,McKO,1115463,1
15, 21:30:00-22:00:00 ,20.8,0.8,7.8,0.5,McKO,1115463,1
16, 22:00:00-22:30:00 ,8.8,0.7,20.5,0,McKO,1115463,1
16, 22:30:00-23:00:00 ,23.8,0.3,5.7,0.2,McKO,1115463,1
17, 23:00:00-23:30:00 ,10.5,0.0,19.2,0.3,McKO,1115463,1
17, 23:30:00-0:00:00 ,24.5,0.2,5.3,0,McKO,1115463,1
18, 0:00:00-0:30:00 ,23.5,0.0,5.8,0.7,McKO,1115463,2
18, 0:30:00-1:00:00 ,3.7,0.5,25.8,0,McKO,1115463,2
19, 1:00:00-1:30:00 ,16.3,0.7,12.5,0.5,McKO,1115463,2
19, 1:30:00-2:00:00 ,12.7,0.5,16.5,0.3,McKO,1115463,2
20, 2:00:00-2:30:00 ,20.5,0.8,8.2,0.5,McKO,1115463,2
20, 2:30:00-3:00:00 ,20.0,0.0,9.8,0.2,McKO,1115463,2
21, 3:00:00-3:30:00 ,12.0,1.2,16.8,0,McKO,1115463,2
21, 3:30:00-4:00:00 ,10.8,0.5,18.7,0,McKO,1115463,2
22, 4:00:00-4:30:00 ,13.2,0.7,15.5,0.7,McKO,1115463,2
22, 4:30:00-5:00:00 ,6.2,0.0,23.8,0,McKO,1115463,2
23, 5:00:00-5:30:00 ,21.2,1.3,7.3,0.2,McKO,1115463,2
23, 5:30:00-6:00:00 ,6.0,0.0,24.0,0,McKO,1115463,2
0, 6:00:00-6:30:00 ,0.2,2.2,27.7,0,McKO,1115463,2
0, 6:30:00-7:00:00 ,17.7,0.5,11.3,0.5,McKO,1115463,2
1, 7:00:00-7:30:00 ,9.5,0.3,20.0,0.2,McKO,1115463,2
1, 7:30:00-8:00:00 ,0.5,3.2,26.3,0,McKO,1115463,2
2, 8:00:00-8:30:00 ,1.8,0.7,27.5,0,McKO,1115463,2
2, 8:30:00-9:00:00 ,8.2,2.0,19.8,0,McKO,1115463,2
3, 9:00:00-9:30:00 ,0.2,5.7,24.2,0,McKO,1115463,2
3, 9:30:00-10:00:00 ,16.3,2.3,11.0,0.3,McKO,1115463,2
4, 10:00:00-10:30:00 ,0.2,1.7,28.2,0,McKO,1115463,2
4, 10:30:00-11:00:00 ,1.8,2.0,26.2,0,McKO,1115463,2
5, 11:00:00-11:30:00 ,8.8,2.5,18.7,0,McKO,1115463,2
5, 11:30:00-12:00:00 ,1.2,1.3,27.5,0,McKO,1115463,2
6, 12:00:00-12:30:00 ,0.2,2.0,27.8,0,McKO,1115463,2
6, 12:30:00-13:00:00 ,0.5,2.2,27.3,0,McKO,1115463,2
7, 13:00:00-13:30:00 ,10.3,1.8,17.8,0,McKO,1115463,2
7, 13:30:00-14:00:00 ,11.2,1.5,17.3,0,McKO,1115463,2
8, 14:00:00-14:30:00 ,0.0,2.3,27.7,0,McKO,1115463,2
8, 14:30:00-15:00:00 ,2.8,3.7,23.3,0.2,McKO,1115463,2
9, 15:00:00-15:30:00 ,1.2,1.8,27.0,0,McKO,1115463,2
9, 15:30:00-16:00:00 ,6.7,3.7,19.7,0,McKO,1115463,2
10, 16:00:00-16:30:00 ,6.7,2.8,20.5,0,McKO,1115463,2
10, 16:30:00-17:00:00 ,2.3,1.2,26.5,0,McKO,1115463,2
11, 17:00:00-17:30:00 ,10.2,1.0,18.8,0,McKO,1115463,2
11, 17:30:00-18:00:00 ,14.2,1.3,13.8,0.5,McKO,1115463,2
12,18:00:00-18:30:00,19.5,0.3,9.8,0.3,McKO,1115463,2
12,18:30:00-19:00:00,18.3,0.2,10.8,0.7,McKO,1115463,2
13,19:00:00-19:30:00,23.3,0.0,6.3,0.3,McKO,1115463,2
13,19:30:00-20:00:00,5.0,0.0,25,0.0,McKO,1115463,2
14,20:00:00-20:30:00,22.5,0.0,7.5,0.0,McKO,1115463,2
14,20:30:00-21:00:00,3.2,1.0,25.8,0.0,McKO,1115463,2
15,21:00:00-21:30:00,17.7,0.5,11.8,0.0,McKO,1115463,2
15,21:30:00-22:00:00,21.0,0.0,8.3,0.7,McKO,1115463,2
